session_date,root_symbol,front_month_sym,front_month_id,back_month_sym,back_month_id,close_price,adjusted_close,back_close,spread,is_roll_day,cum_adjustment,gap,days_to_expiry,rc_trade_count,rc_volume,open_price,session_high,session_low,session_trade_count,session_volume,avg_spread_ticks,spread_volatility,overnight_range_pct,overnight_return,open_range_pct,spread_volume,buy_volume,sell_volume,flow_imbalance
2017-07-26,KE,KEU7,708395,KEZ7,516014,475.75,332.75,502.75,-27.0,false,-143.0,0.0,50,6397,16599,474.0,480.5,472.25,6397,16599,1.1952976488244123,0.4608204696772269,,,,2358,7273,7006,0.018698788430562364
2017-07-27,KE,KEU7,708395,KEZ7,516014,481.0,338.0,507.5,-26.5,false,-143.0,0.0,49,4867,12706,475.75,484.5,475.5,4867,12706,1.1881036282954842,0.4272888747985867,,,,2128,5070,5435,-0.034745359352689194
2017-07-28,KE,KEU7,708395,KEZ7,516014,481.25,338.25,509.25,-28.0,false,-143.0,0.0,48,5514,15123,481.0,490.25,479.75,5514,15123,1.2571234954338637,0.5352235316835,,,,2349,6310,6781,-0.03597891681307769
2017-07-31,KE,KEU7,708395,KEZ7,516014,476.0,333.0,502.75,-26.75,false,-143.0,0.0,45,5589,16751,478.75,481.5,472.5,5589,16751,1.2470129616996395,0.5646681387652085,,,,2770,6556,7409,-0.061081274615109205
2017-08-01,KE,KEU7,708395,KEZ7,516014,465.0,322.0,492.5,-27.5,false,-143.0,0.0,44,8087,21243,472.0,479.0,464.75,8087,21243,1.206066734074823,0.5200472365482791,,,,4091,7281,10218,-0.16783816218069603
2017-08-02,KE,KEU7,708395,KEZ7,516014,464.25,321.25,491.5,-27.25,false,-143.0,0.0,43,6439,17380,465.75,469.5,458.25,6439,17380,1.2202054042179262,0.5432515786157546,,,,2379,6905,8575,-0.1078811369509044
2017-08-03,KE,KEU7,708395,KEZ7,516014,459.75,316.75,487.75,-28.0,false,-143.0,0.0,42,5279,14578,464.0,467.0,457.25,5279,14578,1.2161573482689725,0.5118864730533926,,,,2223,5964,6989,-0.0791322473558249
2017-08-04,KE,KEU7,708395,KEZ7,516014,459.5,316.5,487.5,-28.0,false,-143.0,0.0,41,4255,11129,459.75,465.5,458.0,4255,11129,1.241897343163166,0.5299278749822115,,,,1204,4507,5460,-0.09561553125313535
2017-08-07,KE,KEU7,708395,KEZ7,516014,467.25,324.25,494.5,-27.25,false,-143.0,0.0,38,4103,10744,460.0,467.25,459.0,4103,10744,1.1933059219706412,0.46563321796749746,,,,1606,5091,4460,0.06606638048371898
2017-08-08,KE,KEU7,708395,KEZ7,516014,460.5,317.5,487.75,-27.25,false,-143.0,0.0,37,4459,10411,466.75,471.5,458.0,4459,10411,1.1651535511782636,0.42997360213781927,,,,1370,4455,4971,-0.0547422024188415
2017-08-09,KE,KEU7,708395,KEZ7,516014,463.75,320.75,491.0,-27.25,false,-143.0,0.0,36,4122,8707,460.75,465.0,457.5,4122,8707,1.2370935162775463,0.5196257234931536,,,,1082,4084,3903,0.022661825466382873
2017-08-10,KE,KEU7,708395,KEZ7,516014,449.5,306.5,477.0,-27.5,false,-143.0,0.0,35,6494,14262,464.25,466.25,446.0,6494,14262,1.3946145345813832,1.710376088284939,,,,2636,5257,6237,-0.08526187576126674
2017-08-11,KE,KEU7,708395,KEZ7,516014,440.25,297.25,468.25,-28.0,false,-143.0,0.0,34,7129,15794,449.5,450.5,436.25,7129,15794,1.2560749252589372,0.5844880484291083,,,,3033,6487,6539,-0.003992015968063872
2017-08-14,KE,KEU7,708395,KEZ7,516014,437.25,294.25,465.0,-27.75,false,-143.0,0.0,31,5474,13237,437.5,438.5,429.75,5474,13237,1.2511763387855703,0.5503476296452361,,,,2657,4630,5000,-0.03842159916926272
2017-08-15,KE,KEU7,708395,KEZ7,516014,425.75,282.75,453.25,-27.5,false,-143.0,0.0,30,4182,9272,436.75,436.75,424.5,4182,9272,1.2348571750944957,0.5383861904768596,,,,1742,3292,3871,-0.08083205360882312
2017-08-16,KE,KEZ7,516014,KEU7,708395,446.5,303.5,419.25,27.25,true,-143.0,20.75,120,6717,20196,453.0,461.5,443.25,6717,20196,1.2807120414214277,0.4796898726369044,,,,3428,7617,9267,-0.09772565742714996
2017-08-17,KE,KEZ7,516014,KEU7,708395,443.0,320.75,415.25,27.75,false,-122.25,0.0,119,5210,13728,446.0,449.25,440.5,5210,13728,1.2669638678850275,0.5044902837935166,,,,2216,5525,6325,-0.06751054852320675
2017-08-18,KE,KEZ7,516014,KEU7,708395,443.75,321.5,416.0,27.75,false,-122.25,0.0,118,4415,11391,442.0,445.5,438.25,4415,11391,1.2628494829567216,0.48540806345638726,,,,1821,5407,4512,0.09023087004738381
2017-08-21,KE,KEZ7,516014,KEU7,708395,435.5,313.25,407.5,28.0,false,-122.25,0.0,115,3987,11777,440.0,443.75,433.25,3987,11777,1.308097683492925,0.6111200516267616,,,,2030,4465,5183,-0.07441956882255389
2017-08-22,KE,KEZ7,516014,KEU7,708395,426.25,304.0,398.75,27.5,false,-122.25,0.0,114,6729,17760,436.25,439.5,426.0,6729,17760,1.172546597981702,0.40556723873038497,,,,2156,6946,8713,-0.11284245481831534
2017-08-23,KE,KEZ7,516014,KEH8,454147,426.5,304.25,444.25,-17.75,false,-122.25,0.0,113,5849,17393,425.75,432.0,424.25,5849,17393,1.1824386306094743,0.41163833730961696,,,,2507,7624,7119,0.03425354405480567
